,intake,enrolment,sex,course,year,graduates
120,1305,2458,MF,Applied and Health Sciences,2019,1039
121,822,1565,F,Applied and Health Sciences,2019,701
122,4138,7545,MF,Business & Services,2019,3631
123,2575,4623,F,Business & Services,2019,2285
124,1051,1902,MF,Design & Media,2019,804
125,590,1024,F,Design & Media,2019,405
126,4585,8552,MF,Engineering,2019,3731
127,714,1225,F,Engineering,2019,502
128,3380,6265,MF,Electronics & Infocomm Technology,2019,2821
129,837,1564,F,Electronics & Infocomm Technology,2019,714
130,688,1246,MF,Hospitality,2019,569
131,370,657,F,Hospitality,2019,323
132,1296,2500,MF,Applied and Health Sciences,2020,1127
133,855,1603,F,Applied and Health Sciences,2020,700
134,3831,7295,MF,Business & Services,2020,3659
135,2401,4544,F,Business & Services,2020,2266
136,1010,1991,MF,Design & Media,2020,850
137,532,1080,F,Design & Media,2020,471
138,4502,8500,MF,Engineering,2020,3953
139,716,1305,F,Engineering,2020,552
140,3309,6245,MF,Electronics & Infocomm Technology,2020,2948
141,820,1543,F,Electronics & Infocomm Technology,2020,710
142,713,1294,MF,Hospitality,2020,607
143,392,695,F,Hospitality,2020,328
144,878,1683,F,Applied and Health Sciences,2021,722
145,2445,4536,F,Business & Services,2021,2237
146,604,1112,F,Design & Media,2021,501
147,848,1543,F,Electronics & Infocomm Technology,2021,724
148,734,1368,F,Engineering,2021,633
149,396,715,F,Hospitality,2021,356
150,1335,2549,MF,Applied and Health Sciences,2021,1105
151,3903,7260,MF,Business & Services,2021,3519
152,1009,1966,MF,Design & Media,2021,912
153,3313,6235,MF,Electronics & Infocomm Technology,2021,3022
154,4464,8550,MF,Engineering,2021,4023
155,714,1302,MF,Hospitality,2021,643
